factor_id,sim_type,ir_start,tau_index,tau_date,lambda,sigma_e
F031,half,0.9353309228867045,1672,2021-06-02,0.5223188039392217,0.00410607676462232
F032,regime,0.7813857610661599,1342,2020-02-26,0.8856525201675548,0.005312839298652059
F033,steady,0.6836499010940466,-1,,0.26989057094456037,0.0043962410175668876
F034,half,0.8190569173228008,922,2018-07-18,0.8710071077625822,0.006420281303303366
F035,regime,0.8511229569808043,637,2017-06-14,0.8336679941105284,0.005717019062922019
F036,never,0.0,-1,,0.488612867505991,0.004102459202720522
F037,step0,0.6391720580510615,1315,2020-01-20,0.7465925745449519,0.0035797169475113647
F038,steady,0.7203723921290923,-1,,0.18340478823714645,0.005260475060809595
F039,step0,1.0971387823861778,886,2018-05-29,0.5743868368701688,0.005504177160513308
F040,never,0.0,-1,,0.5738796882493042,0.004826732911592328
F041,steady,1.020682203288023,-1,,0.863102751926146,0.004722579102739152
F042,step0,1.1400709360522001,1033,2018-12-20,0.523623415834398,0.005161989101365942
F043,half,1.1445963779292443,1630,2021-04-05,0.8103512645903881,0.005036718939045921
F044,steady,0.5791465683354536,-1,,0.9682701666096041,0.0037055264066284442
F045,never,0.0,-1,,0.5775176185732118,0.005379130064020951
F046,half,0.6486541185362955,958,2018-09-06,0.924272321878635,0.004693314538209442
F047,steady,0.9463644184467522,-1,,0.9953959997990333,0.005095038981323401
F048,never,0.0,-1,,0.6353026094817429,0.004147979774169533
F049,never,0.0,-1,,0.813230261976967,0.0038039544631038413
F050,never,0.0,-1,,1.2213606026618282,0.0036453053641271257
F051,never,0.0,-1,,0.9125857260342725,0.006331529413066524
F052,half,1.0588362521367543,1550,2020-12-14,1.051053915498704,0.003777218409298066
F053,step0,1.1687689743771918,1787,2021-11-10,0.7830390872371051,0.005231926013539507
F054,steady,1.0618405766154282,-1,,0.49644221736907707,0.004315754985927932
F055,half,0.8703379706731647,1299,2019-12-27,1.1138925668156539,0.005980473029301328
F056,steady,1.1606290382458144,-1,,1.0340373717912976,0.005318749487057672
F057,regime,0.7616314335200861,1245,2019-10-14,0.6049513640027537,0.004787685219521151
F058,steady,1.0498078287062365,-1,,0.9747537741598876,0.004434979493277427
F059,steady,0.9938632655183742,-1,,0.6899268652054639,0.005276523805927816
F060,steady,0.6674073771233141,-1,,0.5031798704092763,0.005508014398675736
F061,step0,0.8464721736147105,1771,2021-10-19,0.10936132257277054,0.004367215674390592
F062,never,0.0,-1,,0.9400569791810882,0.005842937823056577
F063,steady,1.0027773875931292,-1,,0.7958360754055281,0.005986575793295959
F064,half,1.0105473088139956,1336,2020-02-18,1.0714729044619091,0.004443309644209735
F065,regime,0.5650742503929872,1148,2019-05-30,0.6067927605057907,0.004037815658132277
F066,steady,0.5830112480670114,-1,,0.7378355387738686,0.005601021433533261
F067,steady,0.6165785703377952,-1,,0.6055567491438316,0.005903763522821
F068,steady,1.004678961321312,-1,,0.888114019853308,0.005014895731758493
F069,step0,0.6725600420732184,1340,2020-02-24,1.1943525217296844,0.0045036405239298125
F070,half,1.1503416750715016,1001,2018-11-06,0.6265926675311844,0.004857266507251371
F071,steady,0.6619569444607226,-1,,0.506729501223993,0.00621234487710043
F072,never,0.0,-1,,0.9699219599780183,0.006366844972205727
F073,regime,0.599429119251769,676,2017-08-08,0.41412101630744624,0.004340091232146329
F074,steady,0.5562354425016434,-1,,0.8176702354376675,0.003625030029798936
F075,step0,0.9254059320595482,1387,2020-04-29,0.8724732113798006,0.003965847465395632
F076,step0,0.6265206492167551,1686,2021-06-22,0.6660687560846624,0.003805776854727924
F077,steady,0.7234464892800804,-1,,0.7678180251384962,0.004927655670817195
F078,never,0.0,-1,,0.9098741988302486,0.004641587255441771
F079,half,0.7570768054001175,1085,2019-03-04,0.9116850066945235,0.004676333989940085
F080,steady,0.8017391433905547,-1,,1.3157045555869633,0.003760897085667081
F081,half,1.1086447182007155,972,2018-09-26,0.8087025991714458,0.005251556968273692
F082,steady,0.5687642414422313,-1,,0.9372898489143656,0.0062152619197486745
F083,half,1.1210851802776403,1250,2019-10-21,0.28944159124127133,0.005010008048106187
F084,never,0.0,-1,,0.3954828270930112,0.006491050993773521
F085,regime,0.618727670361065,1142,2019-05-22,0.3548867156164516,0.005807601491946996
F086,steady,0.6727657582151135,-1,,1.2189215580431663,0.004589751947470447
F087,regime,0.9470277172545281,931,2018-07-31,0.5774153814062588,0.004608717583330738
F088,regime,0.9219751030786848,1269,2019-11-15,0.7660575456191221,0.006413804613591733
F089,steady,0.5932770471482174,-1,,1.0338795959482734,0.0038650557691375393
F090,never,0.0,-1,,0.8255548967386195,0.004716996935274965
F091,half,1.0111564956274903,979,2018-10-05,1.1216228497046332,0.006096210306232362
F092,half,0.7780310302917918,853,2018-04-12,0.8682801320338394,0.0035348150503170797
F093,steady,1.2274145055897159,-1,,0.7540349934244559,0.005990869194349517
F094,half,1.164075382036264,1331,2020-02-11,0.9448325355738174,0.005777877497080884
F095,half,0.7375800844565511,958,2018-09-06,1.0344500343631196,0.0046551538633075535
F096,steady,1.1605100634569057,-1,,0.7985995045358374,0.004398733416033798
F097,steady,0.6348568839863648,-1,,0.9848607266256302,0.006471695316859071
F098,steady,0.7559690588720153,-1,,0.6101436679605852,0.005872805426904851
F099,steady,1.0832589605192284,-1,,1.029794968794265,0.006318056920447825
